Model,Battery,Source bank,Assigned vendor,Target name in prompt,Families,Planned responses,Yes,No,Unknown,Rate bounds (%)
nameswap_original_s1,diagnostics_original,S,S,present,19,76,47,23,6,"[+61.84, +69.74]"
nameswap_original_s2,diagnostics_original,M,M,absent,7,28,3,9,16,"[+10.71, +67.86]"
nameswap_original_s2,diagnostics_original,M,M,present,43,172,119,38,15,"[+69.19, +77.91]"
nameswap_original_s2,diagnostics_original,S,S,absent,5,20,0,6,14,"[+0.00, +70.00]"
nameswap_original_s2,diagnostics_original,S,S,present,19,76,44,24,8,"[+57.89, +68.42]"
nameswap_original_s3,diagnostics_original,M,M,absent,7,28,3,5,20,"[+10.71, +82.14]"
nameswap_original_s3,diagnostics_original,M,M,present,43,172,129,36,7,"[+75.00, +79.07]"
nameswap_original_s3,diagnostics_original,S,S,absent,5,20,2,6,12,"[+10.00, +70.00]"
nameswap_original_s3,diagnostics_original,S,S,present,19,76,44,26,6,"[+57.89, +65.79]"
nameswap_original_s4,diagnostics_original,M,M,absent,7,28,6,10,12,"[+21.43, +64.29]"
nameswap_original_s4,diagnostics_original,M,M,present,43,172,119,43,10,"[+69.19, +75.00]"
nameswap_original_s4,diagnostics_original,S,S,absent,5,20,3,7,10,"[+15.00, +65.00]"
nameswap_original_s4,diagnostics_original,S,S,present,19,76,51,21,4,"[+67.11, +72.37]"
nameswap_original_s5,diagnostics_original,M,M,absent,7,28,5,9,14,"[+17.86, +67.86]"
nameswap_original_s5,diagnostics_original,M,M,present,43,172,126,33,13,"[+73.26, +80.81]"
nameswap_original_s5,diagnostics_original,S,S,absent,5,20,0,8,12,"[+0.00, +60.00]"
nameswap_original_s5,diagnostics_original,S,S,present,19,76,49,17,10,"[+64.47, +77.63]"
