model,scenario_id,family_id,battery,cue,need,mention_order,sample_id,choice,explanation_words
pilot_M_simple_s0,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#1,S,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#2,S,31
pilot_M_simple_s0,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#3,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#1,S,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#3,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#1,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#3,M,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#1,M,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#2,S,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#3,S,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#1,S,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#3,S,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#1,M,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#3,S,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#1,S,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#2,S,31
pilot_M_simple_s0,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#3,S,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#1,M,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#3,M,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#1,M,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#3,S,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-MS,simplicity-training-v1-s04,primary,both,specialization,MS,simplicity-training-v1-s04-both-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-MS,simplicity-training-v1-s04,primary,both,specialization,MS,simplicity-training-v1-s04-both-MS#1,M,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-MS,simplicity-training-v1-s04,primary,both,specialization,MS,simplicity-training-v1-s04-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-MS,simplicity-training-v1-s04,primary,both,specialization,MS,simplicity-training-v1-s04-both-MS#3,M,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-SM,simplicity-training-v1-s04,primary,both,specialization,SM,simplicity-training-v1-s04-both-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-SM,simplicity-training-v1-s04,primary,both,specialization,SM,simplicity-training-v1-s04-both-SM#1,M,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-SM,simplicity-training-v1-s04,primary,both,specialization,SM,simplicity-training-v1-s04-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-s04-both-SM,simplicity-training-v1-s04,primary,both,specialization,SM,simplicity-training-v1-s04-both-SM#3,M,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-MS,simplicity-training-v1-n01,primary,both,neutral,MS,simplicity-training-v1-n01-both-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-MS,simplicity-training-v1-n01,primary,both,neutral,MS,simplicity-training-v1-n01-both-MS#1,S,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-MS,simplicity-training-v1-n01,primary,both,neutral,MS,simplicity-training-v1-n01-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-MS,simplicity-training-v1-n01,primary,both,neutral,MS,simplicity-training-v1-n01-both-MS#3,S,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-SM,simplicity-training-v1-n01,primary,both,neutral,SM,simplicity-training-v1-n01-both-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-SM,simplicity-training-v1-n01,primary,both,neutral,SM,simplicity-training-v1-n01-both-SM#1,S,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-SM,simplicity-training-v1-n01,primary,both,neutral,SM,simplicity-training-v1-n01-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-n01-both-SM,simplicity-training-v1-n01,primary,both,neutral,SM,simplicity-training-v1-n01-both-SM#3,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-MS,simplicity-training-v1-n02,primary,both,neutral,MS,simplicity-training-v1-n02-both-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-MS,simplicity-training-v1-n02,primary,both,neutral,MS,simplicity-training-v1-n02-both-MS#1,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-MS,simplicity-training-v1-n02,primary,both,neutral,MS,simplicity-training-v1-n02-both-MS#2,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-MS,simplicity-training-v1-n02,primary,both,neutral,MS,simplicity-training-v1-n02-both-MS#3,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-SM,simplicity-training-v1-n02,primary,both,neutral,SM,simplicity-training-v1-n02-both-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-SM,simplicity-training-v1-n02,primary,both,neutral,SM,simplicity-training-v1-n02-both-SM#1,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-SM,simplicity-training-v1-n02,primary,both,neutral,SM,simplicity-training-v1-n02-both-SM#2,M,31
pilot_M_simple_s0,simplicity-training-v1-n02-both-SM,simplicity-training-v1-n02,primary,both,neutral,SM,simplicity-training-v1-n02-both-SM#3,M,31
pilot_M_simple_s0,simplicity-training-v1-n03-both-MS,simplicity-training-v1-n03,primary,both,neutral,MS,simplicity-training-v1-n03-both-MS#0,S,34
pilot_M_simple_s0,simplicity-training-v1-n03-both-MS,simplicity-training-v1-n03,primary,both,neutral,MS,simplicity-training-v1-n03-both-MS#1,M,32
pilot_M_simple_s0,simplicity-training-v1-n03-both-MS,simplicity-training-v1-n03,primary,both,neutral,MS,simplicity-training-v1-n03-both-MS#2,S,34
pilot_M_simple_s0,simplicity-training-v1-n03-both-MS,simplicity-training-v1-n03,primary,both,neutral,MS,simplicity-training-v1-n03-both-MS#3,M,32
pilot_M_simple_s0,simplicity-training-v1-n03-both-SM,simplicity-training-v1-n03,primary,both,neutral,SM,simplicity-training-v1-n03-both-SM#0,S,32
pilot_M_simple_s0,simplicity-training-v1-n03-both-SM,simplicity-training-v1-n03,primary,both,neutral,SM,simplicity-training-v1-n03-both-SM#1,S,32
pilot_M_simple_s0,simplicity-training-v1-n03-both-SM,simplicity-training-v1-n03,primary,both,neutral,SM,simplicity-training-v1-n03-both-SM#2,S,32
pilot_M_simple_s0,simplicity-training-v1-n03-both-SM,simplicity-training-v1-n03,primary,both,neutral,SM,simplicity-training-v1-n03-both-SM#3,M,32
pilot_M_simple_s0,simplicity-training-v1-n04-both-MS,simplicity-training-v1-n04,primary,both,neutral,MS,simplicity-training-v1-n04-both-MS#0,M,32
pilot_M_simple_s0,simplicity-training-v1-n04-both-MS,simplicity-training-v1-n04,primary,both,neutral,MS,simplicity-training-v1-n04-both-MS#1,S,31
pilot_M_simple_s0,simplicity-training-v1-n04-both-MS,simplicity-training-v1-n04,primary,both,neutral,MS,simplicity-training-v1-n04-both-MS#2,S,31
pilot_M_simple_s0,simplicity-training-v1-n04-both-MS,simplicity-training-v1-n04,primary,both,neutral,MS,simplicity-training-v1-n04-both-MS#3,M,30
pilot_M_simple_s0,simplicity-training-v1-n04-both-SM,simplicity-training-v1-n04,primary,both,neutral,SM,simplicity-training-v1-n04-both-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-n04-both-SM,simplicity-training-v1-n04,primary,both,neutral,SM,simplicity-training-v1-n04-both-SM#1,M,32
pilot_M_simple_s0,simplicity-training-v1-n04-both-SM,simplicity-training-v1-n04,primary,both,neutral,SM,simplicity-training-v1-n04-both-SM#2,S,32
pilot_M_simple_s0,simplicity-training-v1-n04-both-SM,simplicity-training-v1-n04,primary,both,neutral,SM,simplicity-training-v1-n04-both-SM#3,M,33
pilot_M_simple_s0,simplicity-training-v1-c01-M-MS,simplicity-training-v1-c01,checks,M,consolidation,MS,simplicity-training-v1-c01-M-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c01-M-SM,simplicity-training-v1-c01,checks,M,consolidation,SM,simplicity-training-v1-c01-M-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c01-S-MS,simplicity-training-v1-c01,checks,S,consolidation,MS,simplicity-training-v1-c01-S-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-c01-S-SM,simplicity-training-v1-c01,checks,S,consolidation,SM,simplicity-training-v1-c01-S-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-c01-none-MS,simplicity-training-v1-c01,checks,none,consolidation,MS,simplicity-training-v1-c01-none-MS#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-c01-none-SM,simplicity-training-v1-c01,checks,none,consolidation,SM,simplicity-training-v1-c01-none-SM#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-c04-M-MS,simplicity-training-v1-c04,checks,M,consolidation,MS,simplicity-training-v1-c04-M-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-M-SM,simplicity-training-v1-c04,checks,M,consolidation,SM,simplicity-training-v1-c04-M-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-c04-S-MS,simplicity-training-v1-c04,checks,S,consolidation,MS,simplicity-training-v1-c04-S-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-c04-S-SM,simplicity-training-v1-c04,checks,S,consolidation,SM,simplicity-training-v1-c04-S-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-c04-none-MS,simplicity-training-v1-c04,checks,none,consolidation,MS,simplicity-training-v1-c04-none-MS#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-c04-none-SM,simplicity-training-v1-c04,checks,none,consolidation,SM,simplicity-training-v1-c04-none-SM#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-s01-M-MS,simplicity-training-v1-s01,checks,M,specialization,MS,simplicity-training-v1-s01-M-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-s01-M-SM,simplicity-training-v1-s01,checks,M,specialization,SM,simplicity-training-v1-s01-M-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-s01-S-MS,simplicity-training-v1-s01,checks,S,specialization,MS,simplicity-training-v1-s01-S-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s01-S-SM,simplicity-training-v1-s01,checks,S,specialization,SM,simplicity-training-v1-s01-S-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-s01-none-MS,simplicity-training-v1-s01,checks,none,specialization,MS,simplicity-training-v1-s01-none-MS#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-s01-none-SM,simplicity-training-v1-s01,checks,none,specialization,SM,simplicity-training-v1-s01-none-SM#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-n01-M-MS,simplicity-training-v1-n01,checks,M,neutral,MS,simplicity-training-v1-n01-M-MS#0,M,31
pilot_M_simple_s0,simplicity-training-v1-n01-M-SM,simplicity-training-v1-n01,checks,M,neutral,SM,simplicity-training-v1-n01-M-SM#0,M,31
pilot_M_simple_s0,simplicity-training-v1-n01-S-MS,simplicity-training-v1-n01,checks,S,neutral,MS,simplicity-training-v1-n01-S-MS#0,S,31
pilot_M_simple_s0,simplicity-training-v1-n01-S-SM,simplicity-training-v1-n01,checks,S,neutral,SM,simplicity-training-v1-n01-S-SM#0,S,31
pilot_M_simple_s0,simplicity-training-v1-n01-none-MS,simplicity-training-v1-n01,checks,none,neutral,MS,simplicity-training-v1-n01-none-MS#0,neither,33
pilot_M_simple_s0,simplicity-training-v1-n01-none-SM,simplicity-training-v1-n01,checks,none,neutral,SM,simplicity-training-v1-n01-none-SM#0,neither,33
pilot_M_simple_s1,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#0,S,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#1,S,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#2,M,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-MS,simplicity-training-v1-c01,primary,both,consolidation,MS,simplicity-training-v1-c01-both-MS#3,M,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#0,M,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#1,S,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#2,M,31
pilot_M_simple_s1,simplicity-training-v1-c01-both-SM,simplicity-training-v1-c01,primary,both,consolidation,SM,simplicity-training-v1-c01-both-SM#3,M,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#0,M,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#1,S,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#2,M,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-MS,simplicity-training-v1-c02,primary,both,consolidation,MS,simplicity-training-v1-c02-both-MS#3,S,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#0,M,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#1,S,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#2,M,31
pilot_M_simple_s1,simplicity-training-v1-c02-both-SM,simplicity-training-v1-c02,primary,both,consolidation,SM,simplicity-training-v1-c02-both-SM#3,S,31
pilot_M_simple_s1,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#0,S,30
pilot_M_simple_s1,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#1,M,31
pilot_M_simple_s1,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#2,S,30
pilot_M_simple_s1,simplicity-training-v1-c03-both-MS,simplicity-training-v1-c03,primary,both,consolidation,MS,simplicity-training-v1-c03-both-MS#3,S,30
pilot_M_simple_s1,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#0,M,30
pilot_M_simple_s1,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#1,S,30
pilot_M_simple_s1,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#2,S,31
pilot_M_simple_s1,simplicity-training-v1-c03-both-SM,simplicity-training-v1-c03,primary,both,consolidation,SM,simplicity-training-v1-c03-both-SM#3,M,30
pilot_M_simple_s1,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#0,S,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#1,S,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#2,M,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-MS,simplicity-training-v1-c04,primary,both,consolidation,MS,simplicity-training-v1-c04-both-MS#3,M,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#0,M,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#1,M,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#2,M,31
pilot_M_simple_s1,simplicity-training-v1-c04-both-SM,simplicity-training-v1-c04,primary,both,consolidation,SM,simplicity-training-v1-c04-both-SM#3,M,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#0,M,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#1,M,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#2,S,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-MS,simplicity-training-v1-s01,primary,both,specialization,MS,simplicity-training-v1-s01-both-MS#3,S,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#0,S,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#1,S,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#2,S,31
pilot_M_simple_s1,simplicity-training-v1-s01-both-SM,simplicity-training-v1-s01,primary,both,specialization,SM,simplicity-training-v1-s01-both-SM#3,S,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#0,S,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#1,M,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#2,M,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-MS,simplicity-training-v1-s02,primary,both,specialization,MS,simplicity-training-v1-s02-both-MS#3,S,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#0,S,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#1,S,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#2,S,31
pilot_M_simple_s1,simplicity-training-v1-s02-both-SM,simplicity-training-v1-s02,primary,both,specialization,SM,simplicity-training-v1-s02-both-SM#3,S,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#0,M,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#1,M,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#2,M,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-MS,simplicity-training-v1-s03,primary,both,specialization,MS,simplicity-training-v1-s03-both-MS#3,M,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#0,S,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#1,M,31
pilot_M_simple_s1,simplicity-training-v1-s03-both-SM,simplicity-training-v1-s03,primary,both,specialization,SM,simplicity-training-v1-s03-both-SM#2,M,31
