model,scenario_id,family_id,need,allocation,format,mention_order,sample_id,choice,explanation_words,word_limit_met,vendor_count_met
base,simplicity-v1-c01-M_simple-one_brief-SM,simplicity-v1-c01,consolidation,M_simple,one_brief,SM,simplicity-v1-c01-M_simple-one_brief-SM#1,S,21,True,True
base,simplicity-v1-c01-M_simple-one_brief-SM,simplicity-v1-c01,consolidation,M_simple,one_brief,SM,simplicity-v1-c01-M_simple-one_brief-SM#2,S,13,True,True
base,simplicity-v1-c01-M_simple-one_brief-SM,simplicity-v1-c01,consolidation,M_simple,one_brief,SM,simplicity-v1-c01-M_simple-one_brief-SM#3,M,25,True,True
base,simplicity-v1-c01-M_simple-one_detailed-MS,simplicity-v1-c01,consolidation,M_simple,one_detailed,MS,simplicity-v1-c01-M_simple-one_detailed-MS#0,M,123,True,True
base,simplicity-v1-c01-M_simple-one_detailed-MS,simplicity-v1-c01,consolidation,M_simple,one_detailed,MS,simplicity-v1-c01-M_simple-one_detailed-MS#1,M,120,True,True
base,simplicity-v1-c01-M_simple-one_detailed-MS,simplicity-v1-c01,consolidation,M_simple,one_detailed,MS,simplicity-v1-c01-M_simple-one_detailed-MS#2,unknown,73,False,False
base,simplicity-v1-c01-M_simple-one_detailed-MS,simplicity-v1-c01,consolidation,M_simple,one_detailed,MS,simplicity-v1-c01-M_simple-one_detailed-MS#3,S,162,False,True
base,simplicity-v1-c01-M_simple-one_detailed-SM,simplicity-v1-c01,consolidation,M_simple,one_detailed,SM,simplicity-v1-c01-M_simple-one_detailed-SM#0,M,98,False,True
base,simplicity-v1-c01-M_simple-one_detailed-SM,simplicity-v1-c01,consolidation,M_simple,one_detailed,SM,simplicity-v1-c01-M_simple-one_detailed-SM#1,S,131,True,True
base,simplicity-v1-c01-M_simple-one_detailed-SM,simplicity-v1-c01,consolidation,M_simple,one_detailed,SM,simplicity-v1-c01-M_simple-one_detailed-SM#2,S,142,True,True
base,simplicity-v1-c01-M_simple-one_detailed-SM,simplicity-v1-c01,consolidation,M_simple,one_detailed,SM,simplicity-v1-c01-M_simple-one_detailed-SM#3,S,195,False,True
base,simplicity-v1-c01-S_simple-flexible-MS,simplicity-v1-c01,consolidation,S_simple,flexible,MS,simplicity-v1-c01-S_simple-flexible-MS#0,neither,164,False,True
base,simplicity-v1-c01-S_simple-flexible-MS,simplicity-v1-c01,consolidation,S_simple,flexible,MS,simplicity-v1-c01-S_simple-flexible-MS#1,S,97,True,True
base,simplicity-v1-c01-S_simple-flexible-MS,simplicity-v1-c01,consolidation,S_simple,flexible,MS,simplicity-v1-c01-S_simple-flexible-MS#2,S,112,True,True
base,simplicity-v1-c01-S_simple-flexible-MS,simplicity-v1-c01,consolidation,S_simple,flexible,MS,simplicity-v1-c01-S_simple-flexible-MS#3,S,101,True,True
base,simplicity-v1-c01-S_simple-flexible-SM,simplicity-v1-c01,consolidation,S_simple,flexible,SM,simplicity-v1-c01-S_simple-flexible-SM#0,M,113,True,True
base,simplicity-v1-c01-S_simple-flexible-SM,simplicity-v1-c01,consolidation,S_simple,flexible,SM,simplicity-v1-c01-S_simple-flexible-SM#1,S,111,True,True
base,simplicity-v1-c01-S_simple-flexible-SM,simplicity-v1-c01,consolidation,S_simple,flexible,SM,simplicity-v1-c01-S_simple-flexible-SM#2,S,117,True,True
base,simplicity-v1-c01-S_simple-flexible-SM,simplicity-v1-c01,consolidation,S_simple,flexible,SM,simplicity-v1-c01-S_simple-flexible-SM#3,S,137,True,True
base,simplicity-v1-c01-S_simple-one_free-MS,simplicity-v1-c01,consolidation,S_simple,one_free,MS,simplicity-v1-c01-S_simple-one_free-MS#0,S,153,True,True
base,simplicity-v1-c01-S_simple-one_free-MS,simplicity-v1-c01,consolidation,S_simple,one_free,MS,simplicity-v1-c01-S_simple-one_free-MS#1,S,162,False,True
base,simplicity-v1-c01-S_simple-one_free-MS,simplicity-v1-c01,consolidation,S_simple,one_free,MS,simplicity-v1-c01-S_simple-one_free-MS#2,S,100,True,True
base,simplicity-v1-c01-S_simple-one_free-MS,simplicity-v1-c01,consolidation,S_simple,one_free,MS,simplicity-v1-c01-S_simple-one_free-MS#3,S,103,True,True
base,simplicity-v1-c01-S_simple-one_free-SM,simplicity-v1-c01,consolidation,S_simple,one_free,SM,simplicity-v1-c01-S_simple-one_free-SM#0,M,99,True,True
base,simplicity-v1-c01-S_simple-one_free-SM,simplicity-v1-c01,consolidation,S_simple,one_free,SM,simplicity-v1-c01-S_simple-one_free-SM#1,S,129,True,True
base,simplicity-v1-c01-S_simple-one_free-SM,simplicity-v1-c01,consolidation,S_simple,one_free,SM,simplicity-v1-c01-S_simple-one_free-SM#2,S,110,True,True
base,simplicity-v1-c01-S_simple-one_free-SM,simplicity-v1-c01,consolidation,S_simple,one_free,SM,simplicity-v1-c01-S_simple-one_free-SM#3,S,124,True,True
base,simplicity-v1-c01-S_simple-one_brief-MS,simplicity-v1-c01,consolidation,S_simple,one_brief,MS,simplicity-v1-c01-S_simple-one_brief-MS#0,S,27,False,True
base,simplicity-v1-c01-S_simple-one_brief-MS,simplicity-v1-c01,consolidation,S_simple,one_brief,MS,simplicity-v1-c01-S_simple-one_brief-MS#1,S,21,True,True
base,simplicity-v1-c01-S_simple-one_brief-MS,simplicity-v1-c01,consolidation,S_simple,one_brief,MS,simplicity-v1-c01-S_simple-one_brief-MS#2,S,20,True,True
base,simplicity-v1-c01-S_simple-one_brief-MS,simplicity-v1-c01,consolidation,S_simple,one_brief,MS,simplicity-v1-c01-S_simple-one_brief-MS#3,S,24,True,True
base,simplicity-v1-c01-S_simple-one_brief-SM,simplicity-v1-c01,consolidation,S_simple,one_brief,SM,simplicity-v1-c01-S_simple-one_brief-SM#0,S,19,True,True
base,simplicity-v1-c01-S_simple-one_brief-SM,simplicity-v1-c01,consolidation,S_simple,one_brief,SM,simplicity-v1-c01-S_simple-one_brief-SM#1,S,23,True,True
base,simplicity-v1-c01-S_simple-one_brief-SM,simplicity-v1-c01,consolidation,S_simple,one_brief,SM,simplicity-v1-c01-S_simple-one_brief-SM#2,S,20,True,True
base,simplicity-v1-c01-S_simple-one_brief-SM,simplicity-v1-c01,consolidation,S_simple,one_brief,SM,simplicity-v1-c01-S_simple-one_brief-SM#3,S,26,False,True
base,simplicity-v1-c01-S_simple-one_detailed-MS,simplicity-v1-c01,consolidation,S_simple,one_detailed,MS,simplicity-v1-c01-S_simple-one_detailed-MS#0,S,91,False,True
base,simplicity-v1-c01-S_simple-one_detailed-MS,simplicity-v1-c01,consolidation,S_simple,one_detailed,MS,simplicity-v1-c01-S_simple-one_detailed-MS#1,S,103,False,True
base,simplicity-v1-c01-S_simple-one_detailed-MS,simplicity-v1-c01,consolidation,S_simple,one_detailed,MS,simplicity-v1-c01-S_simple-one_detailed-MS#2,S,127,True,True
base,simplicity-v1-c01-S_simple-one_detailed-MS,simplicity-v1-c01,consolidation,S_simple,one_detailed,MS,simplicity-v1-c01-S_simple-one_detailed-MS#3,unknown,106,False,False
base,simplicity-v1-c01-S_simple-one_detailed-SM,simplicity-v1-c01,consolidation,S_simple,one_detailed,SM,simplicity-v1-c01-S_simple-one_detailed-SM#0,S,122,True,True
base,simplicity-v1-c01-S_simple-one_detailed-SM,simplicity-v1-c01,consolidation,S_simple,one_detailed,SM,simplicity-v1-c01-S_simple-one_detailed-SM#1,S,205,False,True
base,simplicity-v1-c01-S_simple-one_detailed-SM,simplicity-v1-c01,consolidation,S_simple,one_detailed,SM,simplicity-v1-c01-S_simple-one_detailed-SM#2,S,118,False,True
base,simplicity-v1-c01-S_simple-one_detailed-SM,simplicity-v1-c01,consolidation,S_simple,one_detailed,SM,simplicity-v1-c01-S_simple-one_detailed-SM#3,M,105,False,True
base,simplicity-v1-c02-equal-flexible-MS,simplicity-v1-c02,consolidation,equal,flexible,MS,simplicity-v1-c02-equal-flexible-MS#0,M,90,True,True
base,simplicity-v1-c02-equal-flexible-MS,simplicity-v1-c02,consolidation,equal,flexible,MS,simplicity-v1-c02-equal-flexible-MS#1,M,82,True,True
base,simplicity-v1-c02-equal-flexible-MS,simplicity-v1-c02,consolidation,equal,flexible,MS,simplicity-v1-c02-equal-flexible-MS#2,S,110,True,True
base,simplicity-v1-c02-equal-flexible-MS,simplicity-v1-c02,consolidation,equal,flexible,MS,simplicity-v1-c02-equal-flexible-MS#3,S,139,True,True
base,simplicity-v1-c02-equal-flexible-SM,simplicity-v1-c02,consolidation,equal,flexible,SM,simplicity-v1-c02-equal-flexible-SM#0,S,114,True,True
base,simplicity-v1-c02-equal-flexible-SM,simplicity-v1-c02,consolidation,equal,flexible,SM,simplicity-v1-c02-equal-flexible-SM#1,S,73,True,True
base,simplicity-v1-c02-equal-flexible-SM,simplicity-v1-c02,consolidation,equal,flexible,SM,simplicity-v1-c02-equal-flexible-SM#2,M,85,True,True
base,simplicity-v1-c02-equal-flexible-SM,simplicity-v1-c02,consolidation,equal,flexible,SM,simplicity-v1-c02-equal-flexible-SM#3,S,134,True,True
base,simplicity-v1-c02-equal-one_free-MS,simplicity-v1-c02,consolidation,equal,one_free,MS,simplicity-v1-c02-equal-one_free-MS#0,S,111,True,True
base,simplicity-v1-c02-equal-one_free-MS,simplicity-v1-c02,consolidation,equal,one_free,MS,simplicity-v1-c02-equal-one_free-MS#1,S,183,False,True
base,simplicity-v1-c02-equal-one_free-MS,simplicity-v1-c02,consolidation,equal,one_free,MS,simplicity-v1-c02-equal-one_free-MS#2,S,86,True,True
base,simplicity-v1-c02-equal-one_free-MS,simplicity-v1-c02,consolidation,equal,one_free,MS,simplicity-v1-c02-equal-one_free-MS#3,S,112,True,True
base,simplicity-v1-c02-equal-one_free-SM,simplicity-v1-c02,consolidation,equal,one_free,SM,simplicity-v1-c02-equal-one_free-SM#0,S,110,True,True
base,simplicity-v1-c02-equal-one_free-SM,simplicity-v1-c02,consolidation,equal,one_free,SM,simplicity-v1-c02-equal-one_free-SM#1,M,113,True,True
base,simplicity-v1-c02-equal-one_free-SM,simplicity-v1-c02,consolidation,equal,one_free,SM,simplicity-v1-c02-equal-one_free-SM#2,S,104,True,True
base,simplicity-v1-c02-equal-one_free-SM,simplicity-v1-c02,consolidation,equal,one_free,SM,simplicity-v1-c02-equal-one_free-SM#3,S,74,True,True
base,simplicity-v1-c02-equal-one_brief-MS,simplicity-v1-c02,consolidation,equal,one_brief,MS,simplicity-v1-c02-equal-one_brief-MS#0,S,20,True,True
base,simplicity-v1-c02-equal-one_brief-MS,simplicity-v1-c02,consolidation,equal,one_brief,MS,simplicity-v1-c02-equal-one_brief-MS#1,S,18,True,True
base,simplicity-v1-c02-equal-one_brief-MS,simplicity-v1-c02,consolidation,equal,one_brief,MS,simplicity-v1-c02-equal-one_brief-MS#2,S,33,False,True
base,simplicity-v1-c02-equal-one_brief-MS,simplicity-v1-c02,consolidation,equal,one_brief,MS,simplicity-v1-c02-equal-one_brief-MS#3,S,18,True,True
base,simplicity-v1-c02-equal-one_brief-SM,simplicity-v1-c02,consolidation,equal,one_brief,SM,simplicity-v1-c02-equal-one_brief-SM#0,S,21,True,True
base,simplicity-v1-c02-equal-one_brief-SM,simplicity-v1-c02,consolidation,equal,one_brief,SM,simplicity-v1-c02-equal-one_brief-SM#1,S,19,True,True
base,simplicity-v1-c02-equal-one_brief-SM,simplicity-v1-c02,consolidation,equal,one_brief,SM,simplicity-v1-c02-equal-one_brief-SM#2,S,30,False,True
base,simplicity-v1-c02-equal-one_brief-SM,simplicity-v1-c02,consolidation,equal,one_brief,SM,simplicity-v1-c02-equal-one_brief-SM#3,S,25,True,True
base,simplicity-v1-c02-equal-one_detailed-MS,simplicity-v1-c02,consolidation,equal,one_detailed,MS,simplicity-v1-c02-equal-one_detailed-MS#0,S,119,False,True
base,simplicity-v1-c02-equal-one_detailed-MS,simplicity-v1-c02,consolidation,equal,one_detailed,MS,simplicity-v1-c02-equal-one_detailed-MS#1,M,85,False,True
base,simplicity-v1-c02-equal-one_detailed-MS,simplicity-v1-c02,consolidation,equal,one_detailed,MS,simplicity-v1-c02-equal-one_detailed-MS#2,M,121,True,True
base,simplicity-v1-c02-equal-one_detailed-MS,simplicity-v1-c02,consolidation,equal,one_detailed,MS,simplicity-v1-c02-equal-one_detailed-MS#3,S,86,False,True
base,simplicity-v1-c02-equal-one_detailed-SM,simplicity-v1-c02,consolidation,equal,one_detailed,SM,simplicity-v1-c02-equal-one_detailed-SM#0,M,105,False,True
base,simplicity-v1-c02-equal-one_detailed-SM,simplicity-v1-c02,consolidation,equal,one_detailed,SM,simplicity-v1-c02-equal-one_detailed-SM#1,S,152,True,True
base,simplicity-v1-c02-equal-one_detailed-SM,simplicity-v1-c02,consolidation,equal,one_detailed,SM,simplicity-v1-c02-equal-one_detailed-SM#2,S,114,False,True
base,simplicity-v1-c02-equal-one_detailed-SM,simplicity-v1-c02,consolidation,equal,one_detailed,SM,simplicity-v1-c02-equal-one_detailed-SM#3,S,71,False,True
base,simplicity-v1-c02-M_simple-flexible-MS,simplicity-v1-c02,consolidation,M_simple,flexible,MS,simplicity-v1-c02-M_simple-flexible-MS#0,S,117,True,True
base,simplicity-v1-c02-M_simple-flexible-MS,simplicity-v1-c02,consolidation,M_simple,flexible,MS,simplicity-v1-c02-M_simple-flexible-MS#1,S,104,True,True
base,simplicity-v1-c02-M_simple-flexible-MS,simplicity-v1-c02,consolidation,M_simple,flexible,MS,simplicity-v1-c02-M_simple-flexible-MS#2,M,72,True,True
base,simplicity-v1-c02-M_simple-flexible-MS,simplicity-v1-c02,consolidation,M_simple,flexible,MS,simplicity-v1-c02-M_simple-flexible-MS#3,S,98,True,True
base,simplicity-v1-c02-M_simple-flexible-SM,simplicity-v1-c02,consolidation,M_simple,flexible,SM,simplicity-v1-c02-M_simple-flexible-SM#0,S,119,True,True
base,simplicity-v1-c02-M_simple-flexible-SM,simplicity-v1-c02,consolidation,M_simple,flexible,SM,simplicity-v1-c02-M_simple-flexible-SM#1,S,81,True,True
base,simplicity-v1-c02-M_simple-flexible-SM,simplicity-v1-c02,consolidation,M_simple,flexible,SM,simplicity-v1-c02-M_simple-flexible-SM#2,S,92,True,True
base,simplicity-v1-c02-M_simple-flexible-SM,simplicity-v1-c02,consolidation,M_simple,flexible,SM,simplicity-v1-c02-M_simple-flexible-SM#3,S,81,True,True
base,simplicity-v1-c02-M_simple-one_free-MS,simplicity-v1-c02,consolidation,M_simple,one_free,MS,simplicity-v1-c02-M_simple-one_free-MS#0,M,63,True,True
base,simplicity-v1-c02-M_simple-one_free-MS,simplicity-v1-c02,consolidation,M_simple,one_free,MS,simplicity-v1-c02-M_simple-one_free-MS#1,S,131,True,True
base,simplicity-v1-c02-M_simple-one_free-MS,simplicity-v1-c02,consolidation,M_simple,one_free,MS,simplicity-v1-c02-M_simple-one_free-MS#2,S,112,True,True
base,simplicity-v1-c02-M_simple-one_free-MS,simplicity-v1-c02,consolidation,M_simple,one_free,MS,simplicity-v1-c02-M_simple-one_free-MS#3,M,97,True,True
base,simplicity-v1-c02-M_simple-one_free-SM,simplicity-v1-c02,consolidation,M_simple,one_free,SM,simplicity-v1-c02-M_simple-one_free-SM#0,M,94,True,True
base,simplicity-v1-c02-M_simple-one_free-SM,simplicity-v1-c02,consolidation,M_simple,one_free,SM,simplicity-v1-c02-M_simple-one_free-SM#1,M,83,True,True
base,simplicity-v1-c02-M_simple-one_free-SM,simplicity-v1-c02,consolidation,M_simple,one_free,SM,simplicity-v1-c02-M_simple-one_free-SM#2,M,121,True,True
base,simplicity-v1-c02-M_simple-one_free-SM,simplicity-v1-c02,consolidation,M_simple,one_free,SM,simplicity-v1-c02-M_simple-one_free-SM#3,S,113,True,True
base,simplicity-v1-c02-M_simple-one_brief-MS,simplicity-v1-c02,consolidation,M_simple,one_brief,MS,simplicity-v1-c02-M_simple-one_brief-MS#0,S,38,False,True
base,simplicity-v1-c02-M_simple-one_brief-MS,simplicity-v1-c02,consolidation,M_simple,one_brief,MS,simplicity-v1-c02-M_simple-one_brief-MS#1,M,22,True,True
base,simplicity-v1-c02-M_simple-one_brief-MS,simplicity-v1-c02,consolidation,M_simple,one_brief,MS,simplicity-v1-c02-M_simple-one_brief-MS#2,M,26,False,True
base,simplicity-v1-c02-M_simple-one_brief-MS,simplicity-v1-c02,consolidation,M_simple,one_brief,MS,simplicity-v1-c02-M_simple-one_brief-MS#3,M,19,True,True
base,simplicity-v1-c02-M_simple-one_brief-SM,simplicity-v1-c02,consolidation,M_simple,one_brief,SM,simplicity-v1-c02-M_simple-one_brief-SM#0,S,15,True,True
base,simplicity-v1-c02-M_simple-one_brief-SM,simplicity-v1-c02,consolidation,M_simple,one_brief,SM,simplicity-v1-c02-M_simple-one_brief-SM#1,M,22,True,True
base,simplicity-v1-c02-M_simple-one_brief-SM,simplicity-v1-c02,consolidation,M_simple,one_brief,SM,simplicity-v1-c02-M_simple-one_brief-SM#2,S,15,True,True
base,simplicity-v1-c02-M_simple-one_brief-SM,simplicity-v1-c02,consolidation,M_simple,one_brief,SM,simplicity-v1-c02-M_simple-one_brief-SM#3,M,21,True,True
base,simplicity-v1-c02-M_simple-one_detailed-MS,simplicity-v1-c02,consolidation,M_simple,one_detailed,MS,simplicity-v1-c02-M_simple-one_detailed-MS#0,S,72,False,True
base,simplicity-v1-c02-M_simple-one_detailed-MS,simplicity-v1-c02,consolidation,M_simple,one_detailed,MS,simplicity-v1-c02-M_simple-one_detailed-MS#1,M,84,False,True
base,simplicity-v1-c02-M_simple-one_detailed-MS,simplicity-v1-c02,consolidation,M_simple,one_detailed,MS,simplicity-v1-c02-M_simple-one_detailed-MS#2,M,135,True,True
base,simplicity-v1-c02-M_simple-one_detailed-MS,simplicity-v1-c02,consolidation,M_simple,one_detailed,MS,simplicity-v1-c02-M_simple-one_detailed-MS#3,S,93,False,True
base,simplicity-v1-c02-M_simple-one_detailed-SM,simplicity-v1-c02,consolidation,M_simple,one_detailed,SM,simplicity-v1-c02-M_simple-one_detailed-SM#0,M,108,False,True
base,simplicity-v1-c02-M_simple-one_detailed-SM,simplicity-v1-c02,consolidation,M_simple,one_detailed,SM,simplicity-v1-c02-M_simple-one_detailed-SM#1,S,122,True,True
base,simplicity-v1-c02-M_simple-one_detailed-SM,simplicity-v1-c02,consolidation,M_simple,one_detailed,SM,simplicity-v1-c02-M_simple-one_detailed-SM#2,S,214,False,True
base,simplicity-v1-c02-M_simple-one_detailed-SM,simplicity-v1-c02,consolidation,M_simple,one_detailed,SM,simplicity-v1-c02-M_simple-one_detailed-SM#3,M,103,False,True
base,simplicity-v1-c02-S_simple-flexible-MS,simplicity-v1-c02,consolidation,S_simple,flexible,MS,simplicity-v1-c02-S_simple-flexible-MS#0,S,64,True,True
